country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Syria,23.5,22.4,21.4,20.5,19.7,18.9,18.1,17.3,16.7,16.3,16.1
Chad,186.0,183.0,179.0,176.0,172.0,169.0,165.0,162.0,158.0,154.0,150.0
Togo,120.0,117.0,113.0,110.0,107.0,104.0,101.0,98.0,95.1,92.3,89.6
Thailand,21.9,20.8,19.8,18.8,17.9,17.0,16.2,15.4,14.7,14.0,13.3
Tajikistan,83.9,77.6,71.5,65.9,60.7,56.2,52.4,49.3,46.8,44.8,43.2
Turkmenistan,81.0,78.9,76.7,74.5,72.4,70.2,68.2,66.0,63.9,61.9,59.9
Timor-Leste,108.0,103.0,97.3,92.0,86.8,81.8,76.9,72.5,68.5,65.2,62.3
Tonga,17.6,17.3,17.0,16.8,16.7,16.6,16.7,16.8,17.0,17.2,17.4
Trinidad and Tobago,28.7,28.6,28.4,27.9,27.4,26.8,26.2,25.5,24.8,24.1,23.4
Tunisia,30.0,28.0,26.2,24.7,23.3,22.1,21.1,20.2,19.4,18.9,18.4
Turkey,37.9,35.0,32.3,29.8,27.5,25.4,23.4,21.6,20.0,18.6,17.3
Tuvalu,41.2,40.0,38.9,37.9,37.0,36.1,35.2,34.4,33.5,32.5,31.5
Taiwan,8.55,7.98,7.66,6.94,7.39,7.04,6.7,6.61,6.43,5.64,5.38
Tanzania,130.0,122.0,114.0,107.0,100.0,94.2,89.2,84.4,79.9,76.1,72.3
Uganda,148.0,141.0,133.0,125.0,117.0,109.0,102.0,94.9,88.5,82.9,77.4
Ukraine,18.4,17.6,16.7,15.9,15.1,14.5,13.9,13.4,12.9,12.3,11.7
Uruguay,17.0,16.6,16.1,15.7,15.1,14.3,13.5,12.7,11.9,11.2,10.7
USA,8.45,8.33,8.23,8.14,8.05,7.96,7.86,7.75,7.61,7.47,7.33
Uzbekistan,62.9,60.2,57.5,54.7,52.0,49.3,46.6,44.0,41.4,38.9,36.4
St. Vincent and the Grenadines,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.2,21.9,21.4,20.9
Venezuela,21.6,20.9,20.3,19.8,19.1,18.5,17.9,17.4,17.1,17.0,17.0
Vietnam,29.9,28.6,27.5,26.6,25.8,25.1,24.5,24.1,23.7,23.4,23.1
Vanuatu,28.8,28.5,28.4,28.3,28.4,28.5,28.7,28.8,29.0,29.2,29.4
Samoa,21.1,20.4,19.9,19.5,19.2,19.0,18.9,18.9,18.9,24.2,18.7
Yemen,94.9,90.3,85.6,81.1,76.7,72.5,68.4,64.6,61.0,58.0,56.0
South Africa,73.9,75.8,77.4,79.1,79.4,78.5,76.0,71.0,64.8,58.0,52.5
Zambia,162.0,153.0,142.0,130.0,119.0,110.0,101.0,95.4,90.4,85.1,80.3
Zimbabwe,105.0,104.0,103.0,102.0,102.0,101.0,101.0,100.0,97.0,92.7,86.3
